uf_code,uf_name,mesoregion_code,mesoregion_name,microregion_code,microregion_name,city_code,city_complete_code,city_name
15,PA,6,Sudeste Paraense,18,São Félix do Xingu,7300,1507300,SÃO FÉLIX DO XINGU
15,PA,4,Nordeste Paraense,10,Bragantina,7409,1507409,SÃO FRANCISCO DO PARÁ
15,PA,6,Sudeste Paraense,21,Redenção,7458,1507458,SÃO GERALDO DO ARAGUAIA
15,PA,4,Nordeste Paraense,9,Salgado,7466,1507466,SÃO JOÃO DA PONTA
15,PA,4,Nordeste Paraense,9,Salgado,7474,1507474,SÃO JOÃO DE PIRABAS
15,PA,6,Sudeste Paraense,20,Marabá,7508,1507508,SÃO JOÃO DO ARAGUAIA
15,PA,4,Nordeste Paraense,13,Guamá,7607,1507607,SÃO MIGUEL DO GUAMÁ
15,PA,2,Marajó,5,Furos de Breves,7706,1507706,SÃO SEBASTIÃO DA BOA VISTA
15,PA,6,Sudeste Paraense,21,Redenção,7755,1507755,SAPUCAIA
15,PA,5,Sudoeste Paraense,15,Altamira,7805,1507805,SENADOR JOSÉ PORFÍRIO
15,PA,2,Marajó,6,Arari,7904,1507904,SOURE
15,PA,4,Nordeste Paraense,12,Tomé-Açu,7953,1507953,TAILÂNDIA
15,PA,4,Nordeste Paraense,9,Salgado,7961,1507961,TERRA ALTA
15,PA,1,Baixo Amazonas,1,Óbidos,7979,1507979,TERRA SANTA
15,PA,4,Nordeste Paraense,12,Tomé-Açu,8001,1508001,TOMÉ-AÇU
15,PA,4,Nordeste Paraense,10,Bragantina,8035,1508035,TRACUATEUA
15,PA,5,Sudoeste Paraense,14,Itaituba,8050,1508050,TRAIRÃO
15,PA,6,Sudeste Paraense,18,São Félix do Xingu,8084,1508084,TUCUMÃ
15,PA,6,Sudeste Paraense,16,Tucuruí,8100,1508100,TUCURUÍ
15,PA,6,Sudeste Paraense,17,Paragominas,8126,1508126,ULIANÓPOLIS
15,PA,5,Sudoeste Paraense,15,Altamira,8159,1508159,URUARÁ
15,PA,4,Nordeste Paraense,9,Salgado,8209,1508209,VIGIA
15,PA,4,Nordeste Paraense,13,Guamá,8308,1508308,VISEU
15,PA,5,Sudoeste Paraense,15,Altamira,8357,1508357,VITÓRIA DO XINGU
15,PA,6,Sudeste Paraense,21,Redenção,8407,1508407,XINGUARA
16,AP,1,Norte do Amapá,2,Amapá,105,1600105,AMAPÁ
16,AP,1,Norte do Amapá,1,Oiapoque,204,1600204,CALÇOENE
16,AP,2,Sul do Amapá,3,Macapá,212,1600212,CUTIAS
16,AP,2,Sul do Amapá,3,Macapá,238,1600238,FERREIRA GOMES
16,AP,2,Sul do Amapá,3,Macapá,253,1600253,ITAUBAL
16,AP,2,Sul do Amapá,4,Mazagão,279,1600279,LARANJAL DO JARI
16,AP,2,Sul do Amapá,3,Macapá,303,1600303,MACAPÁ
16,AP,2,Sul do Amapá,4,Mazagão,402,1600402,MAZAGÃO
16,AP,1,Norte do Amapá,1,Oiapoque,501,1600501,OIAPOQUE
16,AP,2,Sul do Amapá,3,Macapá,154,1600154,PEDRA BRANCA DO AMAPARI
16,AP,2,Sul do Amapá,3,Macapá,535,1600535,PORTO GRANDE
16,AP,1,Norte do Amapá,2,Amapá,550,1600550,PRACUÚBA
16,AP,2,Sul do Amapá,3,Macapá,600,1600600,SANTANA
16,AP,2,Sul do Amapá,3,Macapá,55,1600055,SERRA DO NAVIO
16,AP,1,Norte do Amapá,2,Amapá,709,1600709,TARTARUGALZINHO
16,AP,2,Sul do Amapá,4,Mazagão,808,1600808,VITÓRIA DO JARI
17,TO,1,Ocidental do Tocantins,3,Miracema do Tocantins,251,1700251,ABREULÂNDIA
17,TO,1,Ocidental do Tocantins,1,Bico do Papagaio,301,1700301,AGUIARNÓPOLIS
17,TO,1,Ocidental do Tocantins,5,Gurupi,350,1700350,ALIANÇA DO TOCANTINS
17,TO,2,Oriental do Tocantins,8,Dianópolis,400,1700400,ALMAS
17,TO,1,Ocidental do Tocantins,5,Gurupi,707,1700707,ALVORADA
17,TO,1,Ocidental do Tocantins,1,Bico do Papagaio,1002,1701002,ANANÁS
17,TO,1,Ocidental do Tocantins,1,Bico do Papagaio,1051,1701051,ANGICO
17,TO,2,Oriental do Tocantins,6,Porto Nacional,1101,1701101,APARECIDA DO RIO NEGRO
